구분,역명,주 소,Latitude,Longitude,1월 이용인원,2월 이용인원,3월 이용인원,4월 이용인원,5월 이용인원,6월 이용인원,7월 이용인원,8월 이용인원,9월 이용인원,10월 이용인원,11월 이용인원,12월 이용인원,합계
1호선,계양,인천광역시 계양구 다남로 24,37.5714532,126.7366447,155437,154653,191945,190336,191629,181041,161012,161550,180878,169628,165245,159787,2063141
1호선,귤현,인천광역시 계양구 장제로 1136,37.5663605,126.7426213,68466,66812,79997,79354,81946,81618,81742,80237,90767,79956,85881,80765,957541
1호선,박촌,인천광역시 계양구 장제로 지하 992,37.5639623,126.7342231,212623,207493,247415,235850,239503,233648,209912,198180,218140,203473,216310,211690,2634237
1호선,임학,인천광역시 계양구 장제로 지하 875,37.5639623,126.7342231,474957,466015,542368,517583,522306,502224,491090,492260,528112,480828,521224,524718,6063685
1호선,계산,인천광역시 계양구 경명대로 지하 1089,37.5436069,126.7224516,629965,619137,814559,770790,774054,724822,631942,634571,740964,682949,733449,702785,8459987
1호선,경인교대입구,인천광역시 계양구 계양대로 지하 162,37.5327867,126.7225264,362796,353702,432451,411596,416619,395574,362471,354867,393617,357042,389019,386632,4616386
1호선,작전,인천광역시 계양구 계양대로 지하 73,37.5327867,126.7225264,909188,887853,1039389,987168,1010338,959282,913303,888666,964277,886140,961442,964570,11371616
1호선,갈산,인천광역시 부평구 부평대로 지하 286,37.5025841,126.7216472,515797,511198,594510,558700,553212,547328,527610,507917,560374,491383,566774,553457,6488260
1호선,부평구청,인천광역시 부평구 부평대로 지하 189,37.5025841,126.7216472,433538,423528,501209,481946,482387,469179,438504,427266,475210,428552,467530,465208,5494057
1호선,부평시장,인천광역시 부평구 부평대로 지하 69,37.5025841,126.7216472,693293,676733,800555,771008,773838,760403,723049,716909,795731,708138,774575,768653,8962885
1호선,부평,인천광역시 부평구 광장로 지하 15,37.4905177,126.7236766,508125,510142,543801,503082,526819,447552,464647,445838,450230,440735,442536,484554,5768061
1호선,동수,인천광역시 부평구 경인로 지하 877,37.4680855,126.7048911,252541,245181,282599,269793,271995,267388,256522,254305,266943,242507,264028,262612,3136414
1호선,부평삼거리,인천광역시 부평구 경인로 지하 765,37.4680855,126.7048911,161906,140234,172457,169501,175936,167026,160698,153127,170966,186601,163769,154425,1976646
1호선,간석오거리,인천광역시 남동구 경인로 지하 642,37.4680855,126.7048911,677395,662762,756915,721572,726087,709778,666832,648417,694400,629519,685605,694862,8274144
1호선,인천시청,인천광역시 남동구 예술로 지하 264,37.458078,126.7022637,336681,333288,386089,372821,369676,365640,336950,337424,363603,325595,357147,352084,4236998
1호선,예술회관,인천광역시 남동구 예술로 지하 172,37.458078,126.7022637,768539,744828,854505,794905,816317,788519,798676,803967,827916,759352,836607,881666,9675797
1호선,인천터미널,인천광역시 미추홀구 예술로 지하 85,37.4416699,126.6992166,1120846,1059940,1190273,1139208,1195286,1110412,1103531,1108136,1164501,1127173,1137535,1179960,13636801
1호선,문학경기장,인천광역시 연수구 예술로 지하 2,37.4363826,126.6990494,83122,85030,128251,152598,200716,153292,163072,123437,223692,85933,96211,89919,1585273
1호선,선학,인천광역시 연수구 경원대로 지하 480,37.4182654,126.6901839,409154,392272,466019,440539,448259,431708,419136,407036,438257,402078,425721,433402,5113581
1호선,신연수,인천광역시 연수구 경원대로 지하 368,37.4182654,126.6901839,321445,312131,380527,357586,358270,346043,315303,306719,347781,315431,345465,329954,4036655
1호선,원인재,인천광역시 연수구 경원대로 지하 285,37.4182654,126.6901839,156314,155127,188839,180385,176947,178048,175584,173614,192194,165532,187218,181942,2111744
1호선,동춘,인천광역시 연수구 경원대로 지하 180,37.4182654,126.6901839,621595,593231,655297,613175,621295,605558,627806,608923,627962,578744,626855,642472,7422913
1호선,동막,인천광역시 연수구 경원대로 지하 80,37.4182654,126.6901839,345335,339166,410941,384961,384460,378782,362180,351311,381790,331342,373778,376920,4420966
1호선,캠퍼스타운,인천광역시 연수구 송도국제대로 지하 66,37.3848777,126.6587343,307189,310213,394191,367276,376130,348036,322072,320818,365116,315443,348785,335270,4110539
1호선,테크노파크,인천광역시 연수구 송도국제대로 지하 150,37.3848777,126.6587343,311242,310467,367947,374399,464701,404115,412326,421546,432445,404113,432641,458604,4794546
1호선,지식정보단지,인천광역시 연수구 인천광역시타워대로 지하 57,37.3905578,126.6367169,202195,204141,269526,250038,247540,248096,242424,226365,256828,219637,259997,240599,2867386
1호선,인천대입구,인천광역시 연수구 인천광역시타워대로 지하 155,37.3905578,126.6367169,172683,177801,383031,351636,361216,306276,201511,188605,349419,302785,361048,302979,3458990
1호선,센트럴파크,인천광역시 연수구 인천광역시타워대로 지하 240,37.3905578,126.6367169,178457,169524,193543,206902,208463,190255,179224,204547,205406,216548,175627,184897,2313393
1호선,국제업무지구,인천광역시 연수구 인천광역시타워대로 지하 334,37.3905578,126.6367169,26556,27689,33142,32756,33137,36821,37898,87980,64643,35362,41158,42109,499251
2호선,검단오류,인천광역시 서구 검단로 187 (오류동),37.6036265,126.6297301,65439,61392,72831,73084,74283,78364,79377,78924,81831,75709,83468,83015,907717
2호선,왕길,인천광역시 서구 검단로 323 (왕길동),37.5988929,126.6472423,90596,87623,104692,99798,100353,100230,97419,93344,103146,93410,99533,100505,1170649
2호선,검단사거리,인천광역시 서구 검단로 473 (왕길동),37.5963025,126.6423,363530,349990,413715,403977,414217,402432,395190,392644,420003,403701,421053,439583,4820035
2호선,마전,인천광역시 서구 완정로 68 (마전동),37.5985883,126.6641715,172986,174773,211697,199325,198676,194523,190736,188093,201937,182552,200762,202092,2318152
2호선,완정,인천광역시 서구 원당대로 650 (당하동),37.5834197,126.7018623,256119,254396,314631,303660,306993,305596,294848,288632,312302,283509,314391,320034,3555111
2호선,독정,인천광역시 서구 서곶로 760 (백석동),37.5601366,126.6772296,126310,124462,148829,144172,148168,143949,137872,138091,145409,138747,154011,160263,1710283
2호선,검암,인천광역시 서구 검바위로 4 (검암동),37.5681319,126.6755473,132514,129827,153309,153986,161431,159236,155433,154166,173079,156932,158379,154883,1843175
2호선,검바위,인천광역시 서구 서곶로 492 (검암동),37.5601366,126.6772296,106675,113177,166067,157975,155028,154435,141109,137790,159002,138871,157614,152664,1740407
2호선,아시아드경기장,인천광역시 서구 서곶로 382 (연희동),37.5516802,126.6773901,187852,182331,228888,221710,232613,225051,215737,208586,226920,208806,226720,220198,2585412
2호선,서구청,인천광역시 서구 서곶로 294 (심곡동),37.5427567,126.6818273,364764,360986,427315,405383,416314,406456,390725,390644,414312,375938,413816,414813,4781466
2호선,가정,인천광역시 서구 봉오대로 234 (가정동),37.5270701,126.6762839,205957,204714,253483,247141,247645,247352,236272,229807,252773,226447,258018,262282,2871891
2호선,가정중앙시장,인천광역시 서구 가남로 400 (가정동),37.506004,126.6756252,258012,247319,295669,292199,306884,295679,279351,275907,300405,283789,291373,289776,3416363
2호선,석남,인천광역시 서구 가석로 257 (석남동),37.5052326,126.6575638,202764,197966,240666,237018,243707,235213,224695,218896,238433,226446,239616,238789,2744209
2호선,서부여성회관,인천광역시 서구 가석로 169 (석남동),37.5123092,126.6679099,191989,186432,221882,220058,224818,219062,211125,214040,224233,213939,223768,222503,2573849
2호선,인천가좌,인천광역시 서구 가석로 67 (가좌동),37.5074786,126.6773717,158517,153778,184328,180718,180654,176827,170815,169860,186172,171688,190251,189289,2112897
2호선,가재울,인천광역시 서구 열우물로 252 (가좌동),37.4880322,126.6810031,130840,126833,150991,149692,157885,156959,149336,146829,159301,145468,160264,161928,1796326
2호선,주안국가산단,인천광역시 서구 방축로 343 (가좌동),37.4855719,126.6851655,92919,90205,102819,95146,94440,101176,100312,95925,104237,87979,113158,108604,1186920
2호선,주안,인천광역시 미추홀구 주안로 지하 91-1 (주안동),37.4639344,126.6797586,359363,358941,444054,438712,448556,434070,413251,417916,457871,429730,460249,459702,5122415
2호선,시민공원,인천광역시 미추홀구 경인로 371 (주안동),37.4637642,126.6767245,310215,314961,378640,375239,375018,376491,368248,369167,395072,358727,391065,398603,4411446
2호선,석바위시장,인천광역시 미추홀구 구월로 19 (주안동),37.4680099,126.686607,211294,209388,242774,238964,238583,237485,239817,239908,252195,230869,253485,263287,2858049
2호선,인천시청,인천광역시 남동구 구월로 지하 99 (간석동),37.4663057,126.7120326,131877,135848,158806,163807,163469,163423,152454,155462,167933,154955,166155,166675,1880864
2호선,석천사거리,인천광역시 남동구 구월로 지하 181 (구월동),37.4564712,126.7073662,185194,183731,219135,219059,218485,217656,213640,209197,227468,208637,226267,226418,2554887
2호선,모래내시장,인천광역시 남동구 구월로 지하 255 (구월동),37.4564712,126.7073662,314530,311879,375232,380066,381472,375128,365203,366637,389146,362749,378292,382634,4382968
2호선,만수,인천광역시 남동구 구월로 지하 367 (만수동),37.4564712,126.7073662,206718,204566,252138,251226,251622,249630,241178,236644,257957,240496,258373,263426,2913974
2호선,남동구청,인천광역시 남동구 인주대로 지하 889 (만수동),37.4557017,126.7255141,180229,186035,225230,225981,225143,222576,213140,209299,229012,209980,230270,226284,2583179
2호선,인천대공원,인천광역시 남동구 수인로 3677 (장수동),37.4489225,126.7500555,93476,94579,142518,278128,207154,163874,118643,124364,162712,193702,136269,105233,1820652
2호선,운연,인천광역시 남동구 매소홀로 1229 (운연동),37.4387677,126.7331611,22405,22303,27579,30456,30097,29458,28569,29969,32589,30418,30891,28999,343733
